label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
207 St.,8 Ave.,8,3735056.0,3949594.0,4290753.0,4185166.0,3903350.0,3982607.0,4569914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St./200 St.,8 Ave.,8,3500748.0,3610061.0,3742049.0,3740972.0,3640350.0,3592162.0,3718963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
190 St.,8 Ave.,8,1549002.0,1706454.0,1872581.0,1965387.0,1914299.0,1863990.0,1931006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,8 Ave.,8,4904537.0,5319228.0,5691443.0,5829379.0,5717819.0,5679322.0,5914906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
175 St.,8 Ave.,8,7807128.0,8180252.0,8845687.0,9311701.0,9187416.0,,8933699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
168 St.,8 Ave.,8,3689361.0,3432119.0,3420061.0,3465480.0,3346072.0,3563833.0,3880994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
163 St.,8 Ave.,8,3239868.0,3182251.0,3146698.0,3253449.0,3453528.0,3584913.0,3718669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
155 St.,8 Ave.,8,7385129.0,8650994.0,9105215.0,9969791.0,10310134.0,10797744.0,11747041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,8 Ave.,8,3973666.0,4724003.0,4885011.0,5416320.0,5570747.0,5637299.0,5907994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
135 St.,8 Ave.,8,9584909.0,10813039.0,11443134.0,12586892.0,12821947.0,13756440.0,14889922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
125 St.,8 Ave.,8,3847922.0,4434505.0,4470832.0,4889276.0,4957948.0,5205741.0,5737224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
116 St.,8 Ave.,8,2989018.0,3310845.0,3211744.0,3295135.0,3305890.0,3503160.0,3846725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Cathedral Pkwy.,8 Ave.,8,2051962.0,2333138.0,2319362.0,2218017.0,2172097.0,2272481.0,2495195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
103 St.,8 Ave.,8,3445760.0,3884717.0,3873627.0,3885465.0,3830548.0,4013667.0,4331750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
96 St.,8 Ave.,8,3914224.0,4469993.0,4583922.0,4572894.0,4536719.0,4714513.0,3976789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
86 St.,8 Ave.,8,3036548.0,3503806.0,3553536.0,3578640.0,3615186.0,3750570.0,3721383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
81 St.,8 Ave.,8,3050766.0,3635152.0,3574977.0,3535671.0,3381050.0,3494360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
72 St.,8 Ave.,8,,,,,,,94272205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Segment Total,8 Ave.,8,71705604.0,79140151.0,82030629.0,85703635.0,85862853.0,88455572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205 St.,Concourse,8,6044753.0,6433079.0,6999946.0,7448823.0,7391317.0,7436833.0,7931927.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Bedford Park Blvd.,Concourse,8,2803766.0,2897325.0,2996260.0,3069962.0,4583771.0,4572842.0,4835176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Kingsbridge Rd.,Concourse,8,4360747.0,4443083.0,4536677.0,4693436.0,6845917.0,6990445.0,7781896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Fordham Rd.,Concourse,8,6184522.0,6435156.0,6809139.0,7009772.0,3902769.0,3993760.0,4157060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
182-183 Sts.,Concourse,8,3752962.0,3883382.0,4040507.0,4038643.0,6572275.0,6665694.0,7281313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Tremont Ave.,Concourse,8,5413442.0,6050382.0,6266827.0,6547889.0,3749825.0,3766873.0,3995169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
174-175 Sts.,Concourse,8,3541890.0,3770954.0,3886966.0,3816064.0,5691233.0,5750066.0,6169520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
170 St.,Concourse,8,5391577.0,5684239.0,5909502.0,5878408.0,6142885.0,6318780.0,6724740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
167 St.,Concourse,8,5846135.0,5931821.0,6028295.0,6107025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
155 St.,Concourse,8,1222634.0,1547183.0,1668764.0,1538672.0,1555998.0,1737505.0,1904503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Segment Total,Concourse,8,44562437.0,47276674.0,49392682.0,50148694.0,49399931.0,50127996.0,53883363.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
242 St.,Broadway/7 Ave.,8,2942028.0,2840390.0,2972617.0,2913954.0,2744585.0,2674739.0,2937643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
238 St.,Broadway/7 Ave.,8,812093.0,787402.0,808328.0,807542.0,793755.0,782573.0,802233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
231 St.,Broadway/7 Ave.,8,2011047.0,1917833.0,2021576.0,2224663.0,2294957.0,2197361.0,1984523.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
225 St.,Broadway/7 Ave.,8,984579.0,929430.0,962903.0,926003.0,331991.0,367319.0,362040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
215 St.,Broadway/7 Ave.,8,622189.0,645728.0,357637.0,339670.0,995072.0,1028312.0,1083102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
207 St.,Broadway/7 Ave.,8,1169330.0,1049993.0,1018253.0,989461.0,1499797.0,1548908.0,1639173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St.,Broadway/7 Ave.,8,1952099.0,1726367.0,1667309.0,1785875.0,2452385.0,2484298.0,2516036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
191 St.,Broadway/7 Ave.,8,2617925.0,2490067.0,2501296.0,2542523.0,3097893.0,3973622.0,4159361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,Broadway/7 Ave.,8,4389076.0,3884320.0,3763079.0,3836691.0,2286382.0,2911391.0,3074421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
157 St.,Broadway/7 Ave.,8,3460856.0,3145604.0,3045231.0,3045231.0,3226068.0,3264852.0,3462130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,Broadway/7 Ave.,8,4947139.0,4657995.0,4528998.0,4664225.0,4648923.0,3507512.0,3737189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
137 St.,Broadway/7 Ave.,8,3664534.0,3400156.0,3303859.0,3271312.0,3355098.0,3990495.0,4698476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
125 St.,Broadway/7 Ave.,8,3809766.0,3506767.0,3528625.0,3682717.0,4304399.0,4434429.0,4633697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
116 St./Columbia Univ.,Broadway/7 Ave.,8,4743035.0,4465801.0,4288695.0,4283456.0,4909449.0,5114623.0,5330734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Cathedral Pkwy.,Broadway/7 Ave.,8,5543445.0,5210953.0,5098449.0,4984402.0,8095666.0,8501482.0,9041971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
103 St.,Broadway/7 Ave.,8,9316504.0,8771963.0,8332728.0,8184863.0,3235108.0,3338884.0,3293651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
96 St.,Broadway/7 Ave.,8,4541929.0,3931559.0,3354268.0,3295748.0,4868250.0,5092768.0,6078730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
91 St. (Closed 2/2/59),Broadway/7 Ave.,8,6524311.0,6094381.0,5936917.0,5922484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
79 St.,Broadway/7 Ave.,8,5440407.0,5118978.0,4964488.0,4972681.0,10172514.0,10718172.0,10845180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
72 St.,Broadway/7 Ave.,8,10497864.0,9981906.0,9815700.0,10032023.0,3413327.0,3778040.0,3940202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
66 St.,Broadway/7 Ave.,8,3845857.0,3594165.0,3289536.0,3398409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Segment Total,Broadway/7 Ave.,8,86852096.0,81187216.0,79576513.0,79119669.0,78668425.0,81522706.0,85187021.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn,Jerome Ave.,8,1663588.0,1563284.0,1597186.0,1390926.0,1304932.0,1261501.0,1409218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Mosholu Pkwy.,Jerome Ave.,8,3086160.0,2746516.0,2534303.0,2303200.0,2154305.0,2149354.0,2249091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Bedford Park Blvd.,Jerome Ave.,8,761032.0,761787.0,766599.0,644259.0,2478213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Kingsbridge Rd.,Jerome Ave.,8,3169714.0,2762441.0,2713538.0,2502149.0,3499481.0,2516055.0,2713423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Fordham Rd.,Jerome Ave.,8,3196629.0,2752367.0,2658723.0,2904196.0,1844180.0,1820585.0,1889866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
183 St.,Jerome Ave.,8,2375097.0,2040638.0,2008808.0,3751292.0,3498635.0,3649040.0,3705023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Burnside Ave.,Jerome Ave.,8,1829502.0,4122422.0,3991507.0,2096521.0,1097399.0,1934967.0,2056127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
176 St.,Jerome Ave.,8,2669479.0,2203456.0,2094729.0,2392829.0,2191334.0,2128120.0,2312044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Mt. Eden Ave.,Jerome Ave.,8,3044896.0,2575410.0,2451865.0,3773707.0,3478687.0,3411797.0,3506380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
167 St.,Jerome Ave.,8,1446943.0,4568190.0,4315869.0,3119568.0,1944495.0,2926039.0,3051122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Segment Total,Jerome Ave.,8,34665871.0,29607007.0,28364260.0,26521766.0,25080769.0,24704792.0,26055553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Anderson Ave./Jerome Ave.,Burnside Ave. Closed 8/31/58,8,1152707.0,1005351.0,942320.0,931740.0,906960.0,912414.0,883691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Sedgwick Ave.,Burnside Ave. Closed 8/31/58,8,463395.0,351581.0,,252311.0,241306.0,265369.0,299940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
155 St.,Burnside Ave. Closed 8/31/58,8,,377278.0,339952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Segment Total,Burnside Ave. Closed 8/31/58,8,2052115.0,1734210.0,1655366.0,1541752.0,1474375.0,1497296.0,1493324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
207 St.,8 Ave.,8,,,,,,,,4560766.0,4409028.0,4114930.0,4055189.0,4022960.0,4070291.0,3864988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St./200 St.,8 Ave.,8,,,,,,,,3566210.0,3383161.0,3118050.0,3061050.0,3022618.0,2948381.0,2853816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
190 St.,8 Ave.,8,,,,,,,,1791823.0,1626129.0,1482047.0,1440297.0,1443732.0,1540548.0,4215344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,8 Ave.,8,,,,,,,,5617454.0,5220936.0,4693415.0,4509396.0,4368081.0,4307649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
175 St.,8 Ave.,8,,,,,,,,8762917.0,8542207.0,8407514.0,8903592.0,,2630854.0,2515534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
168 St.,8 Ave.,8,,,,,,,,3604806.0,3436928.0,3118384.0,2980608.0,2776294.0,2285954.0,2175033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
163 St.,8 Ave.,8,,,,,,,,3526629.0,3029036.0,2715795.0,2611077.0,2442461.0,,1893011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
155 St.,8 Ave.,8,,,,,,,,11527156.0,10759539.0,9852470.0,9593381.0,9406187.0,4555818.0,4045775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,8 Ave.,8,,,,,,,,5646270.0,5156183.0,4842296.0,4506187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
135 St.,8 Ave.,8,,,,,,,,14402624.0,13217954.0,11852535.0,11367752.0,10985239.0,10730340.0,10529413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
125 St.,8 Ave.,8,,,,,,,,5533874.0,5072362.0,4463721.0,4238959.0,4088718.0,3948457.0,3745728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
116 St.,8 Ave.,8,,,,,,,,3780533.0,3548575.0,3219093.0,3052146.0,3131500.0,2945965.0,2861161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Cathedral Pkwy.,8 Ave.,8,,,,,,,,2989018.0,2446522.0,2323391.0,2235882.0,2181602.0,2182608.0,172010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
103 St.,8 Ave.,8,,,,,,,,4266879.0,4034289.0,3590501.0,3449673.0,3321126.0,3237403.0,3612042.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
96 St.,8 Ave.,8,,,,,,,,4856356.0,4681991.0,4381858.0,4018724.0,3809958.0,,2822805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
86 St.,8 Ave.,8,,,,,,,,3928322.0,3761343.0,3313149.0,3161789.0,2990654.0,2953725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
81 St.,8 Ave.,8,,,,,,,,3658078.0,3404082.0,2993006.0,2801993.0,2596427.0,2493026.0,3432006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
72 St.,8 Ave.,8,,,,,,,,,,,,,,10009482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Segment Total,8 Ave.,8,,,,,,,,91681734.0,85830232.0,78419486.0,76356889.0,74261716.0,72537016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205 St.,Concourse,8,,,,,,,,7717010.0,7317005.0,6736415.0,6571823.0,6451669.0,6120267.0,5471518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Bedford Park Blvd.,Concourse,8,,,,,,,,2973942.0,2813321.0,2514469.0,2559175.0,3695350.0,3524245.0,3288752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Kingsbridge Rd.,Concourse,8,,,,,,,,4639704.0,7256133.0,6608054.0,6344809.0,5984875.0,5607791.0,5131780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Fordham Rd.,Concourse,8,,,,,,,,7112763.0,6380758.0,5703475.0,5465758.0,3115810.0,3049093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
182-183 Sts.,Concourse,8,,,,,,,,4004928.0,3800852.0,3454883.0,3291722.0,,5497009.0,5114237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Tremont Ave.,Concourse,8,,,,,,,,6569696.0,6869712.0,5803522.0,5693658.0,5837814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
174-175 Sts.,Concourse,8,,,,,,,,1958038.0,1660481.0,1515388.0,1418227.0,1705758.0,1799566.0,1772670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
170 St.,Concourse,8,,,,,,,,6042628.0,5665656.0,5190029.0,4962427.0,4636578.0,5152423.0,4734089.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Segment Total,Concourse,8,,,,,,,,52599352.0,49860248.0,45382385.0,44035806.0,42422811.0,40583803.0,37730588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
242 St.,Broadway/7 Ave.,8,,,,,,,,2825203.0,2686751.0,2533713.0,2429089.0,2295405.0,2151780.0,2137248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
238 St.,Broadway/7 Ave.,8,,,,,,,,773056.0,785146.0,767811.0,764426.0,736828.0,755711.0,779830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
231 St.,Broadway/7 Ave.,8,,,,,,,,1802772.0,1721700.0,1672251.0,1662744.0,753331.0,945128.0,927850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
225 St.,Broadway/7 Ave.,8,,,,,,,,915184.0,848158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
215 St.,Broadway/7 Ave.,8,,,,,,,,331075.0,317703.0,254446.0,233013.0,229856.0,228570.0,215810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
207 St.,Broadway/7 Ave.,8,,,,,,,,1062724.0,995788.0,882566.0,841110.0,794031.0,1280724.0,1188409.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Dyckman St.,Broadway/7 Ave.,8,,,,,,,,1519332.0,1385841.0,2109539.0,2046757.0,1932031.0,1891555.0,1806699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
191 St.,Broadway/7 Ave.,8,,,,,,,,3299002.0,2227166.0,,,,,1473469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
181 St.,Broadway/7 Ave.,8,,,,,,,,3856424.0,3595773.0,3093560.0,2912755.0,2738769.0,2046048.0,2005170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
157 St.,Broadway/7 Ave.,8,,,,,,,,2942523.0,2648060.0,2258980.0,2186331.0,2160931.0,2385506.0,2131027.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
145 St.,Broadway/7 Ave.,8,,,,,,,,4334365.0,3084992.0,2762176.0,2638124.0,2500161.0,,4123627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
137 St.,Broadway/7 Ave.,8,,,,,,,,5778465.0,5350385.0,4924458.0,4694766.0,4393043.0,4258234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
125 St.,Broadway/7 Ave.,8,,,,,,,,3636459.0,3392318.0,,2997992.0,2663367.0,3670981.0,3577033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
116 St./Columbia Univ.,Broadway/7 Ave.,8,,,,,,,,4893429.0,4640257.0,4267216.0,4186796.0,3929783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Cathedral Pkwy.,Broadway/7 Ave.,8,,,,,,,,4520765.0,4305052.0,4017516.0,3874590.0,3650626.0,3564901.0,4487683.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
103 St.,Broadway/7 Ave.,8,,,,,,,,5257749.0,5088624.0,4890701.0,7094638.0,7116635.0,6976941.0,6857513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
96 St.,Broadway/7 Ave.,8,,,,,,,,6605718.0,6138602.0,7798879.0,7524638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
91 St. (Closed 2/2/59),Broadway/7 Ave.,8,,,,,,,,3181134.0,3098793.0,2951385.0,2857104.0,2706825.0,2666940.0,2673573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
79 St.,Broadway/7 Ave.,8,,,,,,,,5813826.0,5558779.0,5366953.0,5239371.0,5215493.0,4028550.0,4010478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
72 St.,Broadway/7 Ave.,8,,,,,,,,10524940.0,9963515.0,9437609.0,9382330.0,9068514.0,8893256.0,8686542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
66 St.,Broadway/7 Ave.,8,,,,,,,,4134894.0,4106171.0,4253003.0,4349397.0,4064841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan
Segment Total,Broadway/7 Ave.,8,,,,,,,,82973875.0,78790293.0,74030657.0,72015053.0,68417218.0,66552679.0,65322480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodlawn,Jerome Ave.,8,,,,,,,,1432768.0,1391137.0,1361275.0,1452806.0,1446894.0,1421620.0,1454877.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Mosholu Pkwy.,Jerome Ave.,8,,,,,,,,2171093.0,2057823.0,1887032.0,1699372.0,1639992.0,1569561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Bedford Park Blvd.,Jerome Ave.,8,,,,,,,,,622005.0,563530.0,563176.0,517497.0,540133.0,586806.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Kingsbridge Rd.,Jerome Ave.,8,,,,,,,,2487056.0,2310383.0,2094605.0,2241717.0,2059151.0,1987613.0,1993059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Fordham Rd.,Jerome Ave.,8,,,,,,,,2623714.0,2447579.0,1597464.0,1518393.0,1453382.0,1389930.0,1345518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
183 St.,Jerome Ave.,8,,,,,,,,3603902.0,3352639.0,3094242.0,2949147.0,2687788.0,2596485.0,2513417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
Burnside Ave.,Jerome Ave.,8,,,,,,,,1973136.0,1832738.0,1716237.0,1816662.0,1701625.0,1623085.0,1610478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx
