label,segment,_page,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,borough
Sutphin Blvd.-LIRR (Closed 9/11/77),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082844.0,1161672.0,1044542.0,1005227.0,923294.0,774316.0,732941.0,,,,,,,,,,,,,,,,,,,,,,Queens
Queens Blvd. (Closed 4/15/85),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176225.0,191012.0,172730.0,151159.0,155151.0,150597.0,141896.0,,,,,,,,,,,,,,,,,,,,,,Queens
Metropolitan Ave. (Closed 4/15/85),Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251667.0,271201.0,249379.0,235160.0,229429.0,224039.0,213992.0,,,,,,,,,,,,,,,,,,,,,,Queens
121 St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473512.0,503079.0,448154.0,389858.0,369689.0,336125.0,318579.0,,,,,,,,,,,,,,,,,,,,,,Queens
111 St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477191.0,491785.0,436353.0,401179.0,389082.0,351411.0,324071.0,,,,,,,,,,,,,,,,,,,,,,Queens
104-102 Sts.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453851.0,498686.0,450873.0,403456.0,395495.0,372600.0,340135.0,,,,,,,,,,,,,,,,,,,,,,Queens
Woodhaven Blvd.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684434.0,756905.0,644418.0,591921.0,563452.0,511386.0,477386.0,,,,,,,,,,,,,,,,,,,,,,Queens
Forest Pkwy.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666484.0,692075.0,645665.0,593215.0,570333.0,527255.0,496707.0,,,,,,,,,,,,,,,,,,,,,,Queens
Elderts Lane,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505255.0,523981.0,470012.0,442664.0,421402.0,400489.0,381714.0,,,,,,,,,,,,,,,,,,,,,,Queens
Cypress Hills,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177964.0,196488.0,166098.0,375224.0,339663.0,356530.0,283437.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Crescent St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733402.0,763359.0,712199.0,672219.0,649460.0,604500.0,580437.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Norwood Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513943.0,548275.0,517824.0,504299.0,491788.0,489064.0,474842.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Cleveland St.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574383.0,614254.0,580086.0,568687.0,561261.0,533065.0,529283.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
Van Siclen Ave.,Jamaica,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507406.0,537541.0,556097.0,571456.0,564361.0,552346.0,540388.0,,,,,,,,,,,,,,,,,,,,,,Brooklyn
