label,_page,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,borough
"MANHATTAN, WEST, TIMES SQ. TO 96TH ST.",3,61316802.0,63582688.0,84073641.0,87476447.0,71808104.0,78668086.0,77689419.0,85400804.0,91868846.0,91071812.0,Manhattan
Times Square,3,14427377.0,15048100.0,15337268.0,15930762.0,16989225.0,17199885.0,18821623.0,20427045.0,21857800.0,21683830.0,Manhattan
50th Street,3,8023553.0,8361200.0,8421140.0,9006800.0,9609140.0,9902832.0,11512037.0,12839957.0,14972058.0,14987394.0,Manhattan
Columbus Circle,3,7928261.0,7963600.0,8021767.0,8583394.0,8042724.0,8847047.0,8118059.0,9244493.0,9819924.0,4901245.0,Manhattan
66th Street,3,4635261.0,4839400.0,4562358.0,4654494.0,4672818.0,4595164.0,4677289.0,4743430.0,4965566.0,4901245.0,Manhattan
72d Street,3,7093332.0,7634700.0,7999500.0,8800476.0,9501141.0,9805918.0,10424272.0,11239575.0,12336072.0,12440741.0,Manhattan
79th Street,3,3992286.0,4097200.0,4002832.0,5194453.0,5237794.0,4335625.0,5096405.0,6313756.0,6837013.0,7174291.0,Manhattan
86th Street,3,3889421.0,4059200.0,4031504.0,5025263.0,5410534.0,5614940.0,5894539.0,6237249.0,6917711.0,6994433.0,Manhattan
91st Street,3,2395871.0,2342100.0,2277074.0,2447300.0,2667130.0,2822818.0,2977490.0,3130917.0,3512676.0,3552712.0,Manhattan
96th Street,3,8148340.0,8354600.0,,7839505.0,8825547.0,9187557.0,9205708.0,9008538.0,10144383.0,10710597.0,Manhattan
"MANHATTAN, UPPER B'WAY TO 225TH ST.",3,88818140.0,88719197.0,81625467.0,81817870.0,84036449.0,83658854.0,87695688.0,90172815.0,64615158.0,64609803.0,Manhattan
103d Street,3,4297202.0,4422400.0,4382700.0,4407059.0,4642631.0,4577641.0,4775811.0,5032594.0,5123372.0,5006843.0,Manhattan
Cathedral Parkway (110th St.),3,3527188.0,3432472.0,3252473.0,3539768.0,3766243.0,3503408.0,4657991.0,4863024.0,5123372.0,5006843.0,Manhattan
Col. Univ. (116th St.),3,4240322.0,4305600.0,4211300.0,4191272.0,4321624.0,4236852.0,4394987.0,4485800.0,4808086.0,4805735.0,Manhattan
125th Street,3,5843390.0,5956600.0,5981700.0,5145771.0,5391898.0,4976146.0,5197031.0,5387017.0,5741098.0,5858605.0,Manhattan
City College (137th St.),3,4100896.0,4148200.0,3801100.0,4202044.0,5418249.0,5222793.0,5305083.0,5388172.0,5656770.0,5513031.0,Manhattan
145th Street,3,5739790.0,5760500.0,5569459.0,5515007.0,5683441.0,5354640.0,5062867.0,5693783.0,6002108.0,5822424.0,Manhattan
157th Street,3,5189077.0,5445130.0,5245100.0,5340303.0,5456978.0,5044021.0,5649191.0,5820958.0,5667025.0,5560484.0,Manhattan
168th Street,3,9907460.0,3834800.0,3747000.0,3853390.0,4018369.0,4208109.0,4719161.0,4826602.0,5016053.0,5415242.0,Manhattan
181st Street,3,7116034.0,6968000.0,6632900.0,6485006.0,6785767.0,6810719.0,7531532.0,7655932.0,8102980.0,8494819.0,Manhattan
191st Street,3,2023845.0,2131750.0,2012194.0,2198560.0,2281740.0,2073554.0,2676815.0,2558635.0,3047853.0,3101362.0,Manhattan
Dyckman Street,3,2330205.0,2381300.0,2352500.0,2299300.0,2505103.0,2617191.0,3257610.0,3961421.0,4525782.0,4880152.0,Manhattan
207th Street,3,1699016.0,1818190.0,1760171.0,1678783.0,1742909.0,1828601.0,2892248.0,2540550.0,2071950.0,4884312.0,Manhattan
215th Street-Inham Pk.,3,396943.0,433407.0,426000.0,427633.0,422013.0,413100.0,585181.0,696986.0,772855.0,791875.0,Manhattan
225th Street,3,476901.0,512470.0,519960.0,620943.0,596139.0,615364.0,706950.0,871832.0,1043078.0,1119791.0,Manhattan
"BRONX, B'WAY, 231ST ST. TO 242D STREET",3,4847180.0,4899756.0,,4749182.0,,4745877.0,4800066.0,6100828.0,5581670.0,6314678.0,Bronx
231st Street,3,4547921.0,4499221.0,4580502.0,,4766785.0,,,5119645.0,4607209.0,4701055.0,Bronx
